ID,OWNERSHIP,REVENUE,EXPERIENCE,MAIN_PRODUCT,NUM_BANKS,POSITION,COMP1,COMP2,COMP3,COMP4,SPEED1,SPEED2,SPEED3,SPEED4,DIGI1,DIGI2,DIGI3,DIGI4,REPU1,REPU2,REPU3,REPU4,RELA1,RELA2,RELA3,RELA4,STAFF1,STAFF2,STAFF3,STAFF4,COLL1,COLL2,COLL3,COLL4,DEC1,DEC2,DEC3,DEC4,WALLET_SHARE
138,2,4,2,1,3,2,2,1,2,2,3,3,3,3,4,3,2,3,3,3,4,2,4,4,4,4,2,3,4,4,3,4,3,3,2,2,2,2,1
139,1,1,2,3,2,3,4,5,5,4,5,5,5,5,4,4,4,3,5,5,5,5,3,3,4,3,5,5,5,5,3,4,3,4,5,4,5,4,2
140,4,2,3,3,2,2,3,4,3,4,3,4,4,4,5,5,4,4,5,5,4,4,4,4,3,4,4,4,5,5,4,4,4,3,5,4,4,5,2
141,4,1,4,2,3,2,4,4,4,5,4,3,3,3,5,5,4,5,5,4,3,4,4,4,4,4,4,3,4,4,3,4,4,4,5,4,5,5,2
142,1,2,3,3,2,1,4,3,4,4,4,3,4,3,4,4,4,5,5,5,5,5,3,3,3,2,4,4,3,4,3,4,4,4,4,4,5,4,3
143,2,2,4,4,2,1,3,3,2,3,5,5,5,5,5,5,4,5,4,4,4,5,5,4,5,5,4,4,4,3,3,5,4,5,4,4,4,5,3
144,1,3,1,2,1,3,5,5,5,5,4,3,4,4,4,4,3,3,5,4,4,5,5,5,5,5,4,5,4,4,5,5,5,5,4,4,4,4,2
145,1,1,3,1,2,4,4,3,3,4,5,5,5,4,4,3,4,4,5,5,4,4,4,4,4,5,4,5,4,5,2,2,3,3,5,5,5,5,2
146,1,1,3,2,3,3,5,5,5,5,4,4,5,4,4,3,3,4,5,4,4,5,5,5,5,5,2,3,3,2,4,3,4,3,4,4,4,3,2
147,2,1,1,1,1,1,4,4,4,4,3,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,2,3,3,3,4,4,4,4,4,4,3,4,2
148,2,3,2,2,1,2,4,5,4,5,5,5,5,5,4,4,3,4,5,4,4,5,4,5,5,4,4,4,3,3,4,3,3,3,5,4,5,5,2
149,1,3,4,2,2,3,3,4,3,3,3,3,3,3,5,4,5,4,4,5,5,4,2,2,2,4,5,5,4,5,3,4,3,3,4,3,3,3,1
150,1,2,2,1,1,3,3,3,3,4,3,4,3,3,4,4,3,4,3,4,3,2,5,5,5,4,3,3,4,3,4,4,3,4,4,4,5,4,4
151,4,2,3,1,1,1,2,2,4,2,2,3,3,4,4,5,4,4,4,4,3,4,5,5,5,5,4,5,4,4,3,2,3,3,4,3,3,3,2
152,1,2,2,1,2,1,4,5,4,4,5,5,4,4,3,3,5,4,4,4,4,5,3,4,4,3,3,3,3,2,4,3,4,3,3,3,3,2,2
153,1,1,1,3,3,3,4,5,3,3,5,5,5,5,4,3,4,3,1,2,2,2,2,2,2,2,2,3,3,4,3,4,4,4,3,3,4,3,1
154,2,4,2,4,2,2,5,5,5,5,5,5,5,5,4,4,4,4,5,5,5,5,5,4,4,4,5,5,5,5,3,4,3,3,4,3,4,4,1
155,5,2,4,1,1,2,3,4,4,3,5,4,4,5,4,4,3,4,4,3,4,3,3,3,3,3,5,4,4,4,4,4,5,4,3,3,4,4,3
156,1,2,4,5,1,1,4,3,3,4,3,3,4,3,3,4,4,3,2,2,2,3,3,4,5,4,5,4,4,4,3,3,2,3,1,3,2,3,1
157,2,2,4,2,2,2,5,5,5,5,3,3,4,3,3,3,4,5,4,4,4,4,5,4,4,4,5,5,5,5,5,5,5,4,5,5,5,4,2
158,3,1,3,1,2,3,4,4,4,4,3,2,3,3,4,4,5,4,4,5,5,4,3,3,4,3,4,4,4,3,4,4,4,4,4,3,4,3,1
159,1,1,1,1,3,4,4,4,5,4,5,5,5,5,4,3,4,4,4,5,5,5,5,4,5,5,3,3,3,3,5,4,4,5,5,5,5,5,3
160,2,3,3,2,2,2,3,2,3,4,4,4,5,5,5,5,5,5,2,3,2,3,5,4,5,5,4,5,4,4,5,4,5,5,5,5,5,4,4
161,1,1,3,3,3,2,3,3,3,4,4,4,3,3,4,3,2,3,5,5,5,4,5,4,4,5,2,1,3,2,3,4,4,2,5,4,3,4,1
162,2,2,4,3,1,1,4,3,3,4,4,4,5,4,3,3,3,3,4,2,3,4,4,3,4,4,3,4,3,4,2,1,1,2,4,3,3,3,2
163,2,1,1,1,2,2,5,5,4,5,4,4,3,4,5,5,5,5,5,5,4,4,2,3,3,3,5,5,4,4,4,4,3,5,5,5,4,4,4
164,2,2,3,1,1,2,3,2,4,3,4,4,4,4,2,3,2,3,4,4,4,4,5,4,4,4,5,4,4,4,4,3,4,3,3,3,3,3,2
165,1,1,2,2,4,2,4,4,4,4,5,4,4,4,3,4,3,3,4,4,4,4,4,4,4,4,5,5,5,5,5,5,4,5,4,4,4,4,1
166,3,2,2,1,2,2,3,2,4,4,5,5,5,4,5,5,5,4,5,4,5,5,2,3,3,3,4,4,3,4,3,4,3,4,3,3,4,3,1
167,1,2,3,1,2,2,3,3,2,2,3,3,4,4,2,2,2,2,3,3,3,3,5,5,5,4,4,3,4,3,3,3,3,4,3,4,3,4,3
168,1,1,3,1,1,1,4,4,4,4,3,3,3,2,4,4,5,3,3,3,2,2,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,5,4
169,1,2,3,3,1,2,3,3,3,2,4,4,4,4,5,5,5,5,5,5,5,5,4,4,4,4,3,4,3,4,4,3,2,2,4,4,4,5,2
