ID,OWNERSHIP,REVENUE,EXPERIENCE,MAIN_PRODUCT,NUM_BANKS,POSITION,COMP1,COMP2,COMP3,COMP4,SPEED1,SPEED2,SPEED3,SPEED4,DIGI1,DIGI2,DIGI3,DIGI4,REPU1,REPU2,REPU3,REPU4,RELA1,RELA2,RELA3,RELA4,STAFF1,STAFF2,STAFF3,STAFF4,COLL1,COLL2,COLL3,COLL4,DEC1,DEC2,DEC3,DEC4,WALLET_SHARE
44,1,1,2,3,1,2,4,4,4,4,5,4,4,3,3,4,4,4,4,4,4,4,3,4,4,4,3,4,3,3,2,3,3,2,4,2,5,3,1
45,1,2,2,2,1,2,4,5,4,5,5,4,3,5,3,4,3,4,4,3,3,4,5,3,4,5,4,4,5,4,3,5,4,2,5,3,5,5,3
46,1,2,3,1,2,2,3,4,5,5,4,3,5,4,3,4,4,3,3,2,4,4,4,3,5,3,4,4,3,4,3,3,2,2,4,4,4,3,2
47,2,1,4,1,3,2,3,4,4,4,4,4,5,4,4,4,4,4,5,5,4,5,3,2,3,2,4,4,2,3,2,1,2,1,4,2,4,4,1
48,3,4,4,3,3,4,2,1,1,1,3,4,4,3,4,3,3,1,3,2,3,3,4,4,3,3,1,1,2,2,3,2,4,4,3,3,4,3,1
49,3,1,4,1,2,4,3,3,3,4,3,2,4,3,3,3,3,2,4,4,3,4,3,4,4,4,5,4,5,5,3,4,4,4,3,4,4,3,1
50,1,1,1,2,3,3,5,4,5,4,4,3,4,4,3,4,2,3,4,4,5,4,4,4,4,5,4,4,5,4,3,3,3,4,4,3,5,3,1
51,1,2,3,1,1,4,4,5,4,4,4,5,4,5,4,5,5,4,4,5,5,5,5,5,5,4,3,4,3,3,4,4,4,5,4,4,4,5,3
52,4,4,1,1,4,2,3,3,3,3,4,4,5,3,5,4,5,5,4,5,5,4,3,3,4,4,5,5,4,4,5,4,3,5,3,4,3,4,1
53,1,3,2,1,2,4,5,5,5,5,3,4,3,4,3,4,5,3,5,4,5,5,4,5,5,5,5,4,5,5,4,4,4,4,4,4,4,5,3
54,2,2,2,1,1,2,2,4,5,3,3,4,2,4,5,5,5,4,4,4,4,5,5,5,5,5,3,3,3,2,4,3,4,4,4,4,4,4,4
55,1,1,3,1,3,3,3,3,2,2,1,3,3,3,3,3,3,2,2,4,2,3,2,3,3,3,2,3,3,3,3,2,3,3,4,3,4,2,1
56,2,1,3,1,2,2,3,3,2,3,2,2,3,3,4,2,3,3,3,4,3,3,5,4,4,5,3,4,4,3,5,4,4,4,3,2,3,1,1
57,5,1,4,1,2,3,2,1,2,3,5,3,4,3,4,4,3,2,4,4,4,4,1,1,1,1,2,3,2,3,4,2,2,4,2,3,3,3,2
58,2,1,2,2,1,4,4,2,3,3,2,1,2,2,2,2,2,2,3,4,3,2,4,2,4,3,1,3,4,2,2,3,2,3,2,2,3,2,2
59,1,2,3,1,2,4,3,2,1,3,4,3,3,3,4,4,5,5,4,4,4,4,3,3,3,4,3,3,2,3,4,3,5,4,4,3,4,2,2
60,2,1,2,4,2,1,4,3,4,3,3,3,4,4,5,3,4,3,2,3,4,3,4,4,5,3,3,4,3,4,5,5,5,4,4,5,5,3,3
61,2,2,2,2,1,2,4,5,4,5,4,4,3,2,4,3,3,4,4,5,4,4,4,4,4,4,2,2,3,2,3,3,2,4,4,5,5,5,4
62,2,1,3,1,2,2,4,3,2,3,3,5,3,4,1,1,4,2,1,1,1,1,3,2,2,4,3,3,3,4,4,3,3,3,3,3,4,2,1
63,2,2,2,1,3,4,4,3,3,1,3,2,3,2,3,4,4,4,3,3,3,2,4,2,4,4,3,3,3,3,3,2,3,2,5,3,4,4,1
64,1,2,3,1,3,2,3,3,3,4,3,3,4,4,2,2,2,2,3,4,4,5,4,4,4,5,4,4,4,3,4,4,3,5,2,2,3,2,1
65,5,1,4,2,3,2,4,3,4,4,4,4,5,4,1,2,3,1,4,3,4,4,4,4,5,4,3,2,2,3,1,2,2,2,4,4,4,3,3
66,2,2,4,1,2,3,4,1,2,2,4,1,4,4,4,4,3,3,4,3,3,4,3,4,4,5,4,5,4,5,5,5,5,5,4,3,4,4,2
67,1,2,2,3,2,2,1,1,2,2,4,4,5,5,3,2,2,2,5,4,4,4,3,3,4,3,4,4,4,3,3,1,2,2,4,4,3,3,2
68,4,4,1,1,2,2,5,5,5,4,3,4,3,3,4,4,5,4,3,3,3,3,4,4,4,3,4,4,4,5,5,5,5,5,5,4,5,5,2
69,1,1,2,5,2,2,4,4,3,3,2,2,2,3,3,4,4,4,2,2,2,2,4,2,4,3,4,3,2,4,2,1,1,2,3,3,3,3,1
70,1,2,1,5,3,1,3,4,4,5,4,4,4,3,4,3,4,5,5,5,4,5,4,3,3,4,4,4,4,4,3,3,4,4,4,4,4,4,2
71,2,1,1,3,2,2,3,3,3,1,2,1,1,1,3,2,2,2,3,3,2,3,2,1,1,1,2,1,1,2,2,2,1,1,2,2,2,1,1
72,1,2,4,2,3,3,3,3,1,3,3,3,2,4,3,1,3,2,4,3,2,4,4,4,4,2,4,3,5,4,3,3,3,4,1,1,3,1,1
73,2,3,2,1,3,2,5,5,4,5,1,4,3,2,4,4,4,4,5,4,4,5,3,3,3,4,3,3,3,2,4,4,4,3,5,4,5,4,2
74,2,1,4,1,2,3,3,2,3,2,3,4,3,4,3,4,5,4,3,3,4,4,3,2,4,4,3,1,2,2,3,3,3,3,3,2,2,2,1
75,1,1,3,1,1,2,3,3,4,3,5,4,4,4,4,3,5,4,5,5,5,5,4,4,2,2,3,2,3,4,4,3,5,4,4,4,4,4,4
76,2,2,2,1,2,1,4,4,5,4,4,5,4,5,4,4,3,4,4,4,4,4,4,4,3,3,1,2,1,3,5,4,4,5,5,4,4,3,3
77,1,2,2,4,1,1,3,3,4,4,3,4,4,4,4,4,4,4,3,3,4,3,3,5,3,4,5,4,3,3,2,2,2,1,4,4,5,4,4
78,1,2,3,2,2,1,3,3,3,3,4,4,4,4,4,4,5,3,4,4,4,5,4,4,2,3,4,3,3,4,4,3,4,5,2,2,2,2,1
79,3,3,3,3,1,3,3,3,3,2,2,2,3,2,3,3,3,3,4,4,4,4,3,2,3,3,3,2,3,3,1,3,3,3,3,3,3,2,2
80,3,1,3,1,2,4,3,4,3,4,3,2,1,3,3,4,4,5,5,4,5,5,3,5,3,4,2,3,3,3,5,5,5,5,5,4,5,5,3
81,1,2,3,1,2,2,5,4,3,2,2,4,4,4,5,4,4,1,5,5,4,4,3,4,3,4,5,4,3,5,4,4,4,4,4,3,4,5,3
82,3,2,2,1,3,1,5,4,4,4,4,4,4,5,5,5,5,4,4,4,4,4,3,1,2,2,3,4,3,3,2,2,2,2,3,3,3,3,3
83,3,3,4,4,3,3,5,5,3,3,4,4,4,4,5,4,4,4,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,5,2
84,4,4,2,4,2,3,3,4,3,4,4,4,3,3,4,4,4,5,2,2,3,3,3,2,2,3,1,3,1,2,3,4,3,3,3,5,3,3,3
85,1,1,3,2,2,3,4,4,4,3,4,4,4,3,2,3,1,4,3,3,3,3,4,3,5,4,4,4,3,4,3,1,2,1,3,4,5,4,3
86,1,1,2,2,2,1,4,4,5,5,5,5,4,5,3,4,4,3,3,4,5,3,3,4,3,4,4,5,5,5,2,2,3,4,5,5,4,5,3
87,1,1,3,1,1,2,3,4,3,4,3,3,4,4,4,4,3,3,4,3,3,4,3,3,3,3,3,2,4,3,4,3,4,3,4,4,3,3,3
88,3,2,4,1,2,2,3,3,3,3,2,2,2,3,5,3,4,4,5,5,5,5,3,4,3,4,3,3,2,2,4,4,5,5,4,4,4,4,3
89,3,4,2,1,2,2,3,2,1,4,3,1,2,3,3,4,3,3,3,2,4,1,2,2,3,2,3,4,4,3,3,3,3,3,3,3,4,3,1
90,1,2,2,1,2,3,3,4,4,4,3,3,2,2,2,2,1,3,4,4,4,3,4,3,2,3,3,4,4,4,2,3,3,3,3,2,3,2,1
91,2,1,4,1,1,3,4,4,5,4,3,3,3,2,2,2,1,3,4,5,5,4,5,4,5,5,4,4,4,4,2,4,3,3,3,4,4,3,4
92,4,2,4,2,2,2,4,4,5,4,3,3,4,4,2,4,4,4,5,4,3,3,5,4,5,4,4,2,4,2,5,5,5,5,3,5,5,4,4
93,2,2,4,1,4,1,5,4,5,5,3,2,4,4,4,4,5,4,4,4,3,4,5,5,4,4,3,5,4,4,5,4,4,4,5,4,4,4,1
94,1,2,2,2,1,4,4,4,3,3,4,4,3,4,2,3,2,2,5,5,5,5,5,4,5,4,4,3,3,2,4,4,4,3,4,5,4,4,4
95,2,4,3,1,3,1,1,2,2,3,2,1,2,2,3,3,2,3,4,3,4,3,4,4,4,3,1,1,1,1,2,2,2,1,2,2,2,1,1
96,4,3,3,2,3,1,5,4,5,4,5,5,5,5,4,5,5,5,3,4,4,4,4,5,4,2,5,4,5,5,4,4,4,4,5,5,5,5,3
97,4,3,3,3,3,1,5,3,5,4,4,3,4,4,4,2,3,3,5,4,5,5,3,4,2,4,4,4,4,4,5,4,5,4,5,4,4,4,2
98,2,2,1,1,1,2,3,4,4,4,3,3,3,3,4,4,4,3,2,3,2,2,2,2,3,3,3,2,2,4,5,3,4,3,3,3,4,3,2
99,4,3,3,2,2,2,1,3,2,3,3,2,2,3,5,4,4,4,4,3,3,2,5,4,5,4,4,4,3,3,2,1,2,3,2,2,3,2,1
100,1,3,4,2,3,3,4,4,4,4,4,3,3,4,3,5,4,3,5,4,4,3,3,4,3,3,5,5,5,4,4,4,5,4,3,3,4,3,1
101,4,2,1,4,1,2,4,3,3,3,2,3,3,4,4,4,4,3,4,4,3,4,2,3,2,1,2,3,3,4,3,2,4,3,2,2,2,3,2
102,1,1,1,2,2,3,3,4,3,4,5,4,4,4,5,4,4,5,4,4,4,4,3,4,5,5,3,3,4,4,5,3,4,3,5,5,4,5,4
103,4,1,1,4,3,3,2,1,3,2,3,4,4,2,2,2,2,3,3,2,2,3,2,4,3,3,4,4,5,5,2,3,2,2,2,3,4,2,1
104,2,1,3,4,3,2,4,3,3,4,4,4,3,4,3,1,2,3,3,3,2,3,4,3,4,3,4,4,4,4,5,5,5,5,4,4,4,2,1
105,1,2,3,3,1,4,5,5,4,5,4,4,3,4,4,4,3,4,3,4,3,3,2,3,2,2,1,1,2,1,3,4,5,4,4,4,3,5,4
106,2,1,3,3,3,2,2,1,2,4,3,4,4,4,1,3,2,3,4,4,4,3,5,5,5,5,4,3,4,4,2,3,3,2,4,3,4,3,1
107,2,3,3,1,3,3,3,4,3,2,4,4,4,3,5,4,4,4,5,4,4,5,5,4,3,2,4,3,3,3,4,4,4,4,5,4,5,3,2
108,2,1,4,3,1,1,2,1,2,3,3,4,4,4,4,3,3,2,4,4,5,4,5,3,3,4,4,4,3,4,2,4,4,4,5,4,4,5,4
109,2,3,2,4,2,3,4,2,1,1,2,2,4,2,4,5,3,3,3,2,3,2,4,3,4,4,3,2,3,3,4,3,4,4,2,2,3,2,1
110,2,2,1,1,3,3,5,4,5,5,3,4,3,2,3,2,2,2,4,3,4,4,4,4,3,4,3,3,3,3,4,5,4,4,4,4,4,4,3
111,4,3,4,5,2,2,3,1,2,3,2,4,4,3,4,4,4,4,5,5,5,4,3,2,2,3,3,4,4,3,3,2,3,3,4,4,4,4,1
112,2,1,4,3,1,3,2,2,2,2,3,5,4,4,4,3,3,3,3,2,2,1,5,5,4,5,3,4,2,3,2,3,3,2,3,3,3,3,3
113,2,2,3,2,2,2,5,4,5,4,4,4,3,4,4,4,3,3,4,4,3,4,4,3,3,4,3,3,3,4,2,3,2,2,4,3,4,3,1
114,2,1,3,1,2,3,1,1,1,2,4,3,3,4,3,3,3,2,1,1,1,2,2,2,2,1,3,3,2,3,2,2,2,1,1,4,3,4,3
115,4,3,2,2,2,1,4,4,4,4,4,4,4,3,4,5,5,4,4,5,3,3,3,2,2,3,4,4,3,5,5,4,5,5,4,4,4,4,2
116,1,4,3,3,2,2,5,4,4,3,4,4,5,5,3,2,4,3,3,3,3,4,4,3,3,3,5,3,3,3,4,4,5,4,4,4,3,3,4
117,1,2,2,1,3,2,3,4,3,5,2,2,2,3,3,3,3,2,5,5,4,5,5,4,5,5,4,5,4,4,4,4,4,4,5,4,4,4,2
118,1,2,1,3,1,4,4,2,1,5,4,3,3,5,4,4,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,2,3,3,3,4,3,3,2
119,4,4,2,1,2,3,2,3,3,2,2,2,2,3,3,3,2,3,4,3,2,4,3,2,2,3,1,2,1,2,3,2,1,2,1,1,2,1,1
120,2,1,4,2,3,2,3,3,4,2,3,2,4,3,2,1,2,1,5,4,5,4,5,5,5,5,2,3,2,4,4,3,3,3,2,2,3,1,1
121,2,2,1,2,1,1,4,5,4,4,2,2,2,2,3,4,3,3,4,4,4,3,4,3,2,3,2,1,1,2,2,3,3,4,3,2,3,3,1
122,2,2,4,1,1,1,2,1,3,3,3,4,4,3,4,3,3,4,4,4,5,4,4,4,4,5,3,4,3,4,3,3,4,2,4,4,5,3,3
123,1,1,3,2,3,2,4,4,2,4,4,1,2,2,3,2,3,3,3,2,5,4,5,4,4,4,4,5,5,4,5,4,3,4,3,3,4,3,1
124,4,3,3,3,3,2,5,5,5,5,4,4,3,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,5,4,5,5,2
125,4,3,1,3,3,2,1,1,1,1,1,1,1,1,3,3,3,4,2,2,1,1,1,2,2,1,2,3,3,3,1,2,2,2,1,2,1,1,1
126,3,2,4,2,3,2,2,4,3,2,4,3,4,4,4,5,5,4,5,4,4,4,4,4,5,4,5,5,5,4,5,4,4,5,4,4,5,4,3
127,1,3,2,2,4,3,1,1,1,1,4,2,4,4,3,2,2,3,4,2,2,2,3,2,1,2,4,4,2,3,2,2,3,2,4,3,3,2,1
128,1,3,4,1,1,2,5,5,5,5,4,2,4,4,5,5,5,5,5,5,3,4,4,5,4,4,4,5,4,4,5,4,5,4,5,5,4,5,4
129,2,1,3,1,1,2,5,5,4,5,4,3,4,3,2,2,3,2,2,3,3,2,3,4,4,2,4,5,4,4,2,4,4,3,4,4,5,4,4
130,5,2,2,3,1,3,3,3,4,4,2,2,2,1,3,4,4,4,3,4,3,4,2,3,3,4,2,4,4,3,2,2,2,3,3,4,4,2,4
131,1,2,3,2,2,2,3,2,4,3,3,2,2,3,3,2,2,2,2,2,2,3,3,4,3,4,3,3,3,4,5,5,5,5,3,3,3,2,3
132,2,1,3,4,4,2,3,4,3,4,2,1,2,1,4,2,3,2,4,4,4,4,5,5,5,5,4,4,3,4,3,3,3,3,5,4,3,3,1
133,3,4,4,3,2,1,2,3,3,1,3,3,2,3,4,4,3,3,4,3,2,3,3,2,2,2,2,2,2,2,3,2,4,3,3,2,2,3,1
134,3,2,4,4,2,3,4,4,4,4,3,4,4,4,5,5,5,5,4,5,4,4,4,3,5,3,3,3,4,4,5,3,4,4,4,4,4,4,2
135,2,3,2,3,2,3,3,3,3,3,5,5,5,5,4,4,2,3,3,3,3,3,4,3,3,3,1,4,3,3,3,3,2,3,3,3,3,3,1
136,2,1,1,3,2,3,4,4,3,3,1,3,3,3,3,3,3,3,4,4,4,4,5,5,5,5,3,3,3,3,4,3,4,3,4,4,4,3,2
137,2,1,1,2,2,2,4,2,3,3,3,4,4,4,2,2,3,2,4,3,3,4,3,2,3,3,2,2,2,1,3,2,2,3,3,3,2,3,1
138,1,2,3,1,2,2,3,4,3,3,1,1,2,3,4,4,4,3,5,4,5,4,2,2,2,3,4,4,3,3,2,2,3,2,3,4,3,2,2
139,1,1,4,4,1,2,3,2,2,2,4,3,4,3,2,3,2,3,3,3,4,2,3,3,2,2,3,2,2,3,3,3,4,4,2,3,3,2,2
140,1,2,4,1,1,3,4,3,4,4,4,4,4,4,3,4,3,3,4,3,3,3,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,3
141,2,1,1,1,3,2,2,1,1,2,3,2,4,2,2,4,3,4,2,2,2,3,4,2,3,3,3,2,1,3,2,2,2,2,3,2,2,3,1
142,1,1,2,4,3,2,2,4,4,5,4,3,4,3,3,3,3,4,4,4,4,3,3,2,3,2,3,4,4,4,2,2,3,3,3,3,3,2,1
143,1,2,2,4,2,1,3,4,4,4,4,4,5,5,3,4,4,4,5,5,5,5,2,3,4,3,5,5,5,4,1,3,3,3,5,4,5,5,2
144,1,4,4,1,2,2,3,3,2,3,2,2,2,3,5,5,5,4,4,4,4,4,3,4,4,3,3,4,3,3,4,4,4,3,4,3,4,4,1
145,3,3,4,1,3,3,5,5,5,5,4,5,5,4,1,4,5,4,5,5,4,5,4,4,4,4,5,4,4,5,2,3,3,4,5,5,5,5,4
146,1,1,2,1,2,2,3,4,4,3,2,2,2,3,2,1,2,2,1,1,2,2,4,3,4,4,2,3,3,3,5,5,4,4,1,1,2,2,1
147,2,2,3,2,2,3,2,3,3,2,3,2,3,2,4,4,3,4,4,3,4,4,3,3,3,2,4,5,5,4,5,4,3,4,4,3,4,4,2
148,3,4,3,3,3,2,2,1,4,2,4,3,4,4,5,3,4,4,2,3,2,2,4,4,3,3,4,4,5,4,5,4,5,5,4,3,4,3,1
149,2,3,3,1,3,3,4,4,4,4,5,4,5,4,4,3,4,4,3,3,4,3,5,3,5,5,4,4,5,5,3,4,4,4,5,4,5,5,1
150,2,2,1,1,2,1,3,3,2,4,4,4,4,3,4,4,4,5,3,2,3,4,4,4,3,4,3,4,3,4,4,4,3,4,3,3,4,4,1
151,3,4,4,3,3,2,3,4,3,3,4,4,4,4,4,4,5,5,4,4,4,5,5,4,4,4,4,4,4,5,3,2,3,2,5,4,4,4,1
152,1,2,1,1,2,2,4,4,3,3,5,3,4,2,3,3,2,3,5,5,3,3,4,4,4,5,2,3,1,2,2,2,3,2,3,3,3,1,2
153,5,1,2,4,2,1,4,4,2,3,2,2,3,2,1,3,2,2,3,3,4,3,3,3,2,3,2,3,3,3,1,1,1,2,1,2,2,1,1
154,1,3,3,3,1,1,4,4,4,3,3,4,4,4,4,3,2,4,1,2,2,3,4,5,5,5,4,4,4,4,3,3,4,4,4,4,4,4,3
155,2,1,4,2,1,2,4,4,3,4,3,4,4,4,5,5,5,5,5,5,5,4,4,4,3,3,5,3,5,3,4,5,4,4,5,5,5,5,4
156,3,1,2,3,3,1,2,3,1,1,3,3,3,2,3,2,3,4,2,2,3,2,3,3,3,3,2,3,2,4,3,1,3,3,3,3,3,4,1
157,3,3,3,3,4,1,5,5,5,5,3,4,4,2,4,4,4,3,5,5,5,5,4,5,4,3,4,5,4,4,5,3,3,4,5,5,4,5,2
158,2,3,3,3,4,4,5,5,5,5,4,4,4,5,3,3,1,1,4,4,3,4,3,3,4,5,4,4,4,5,5,4,4,4,4,4,5,5,1
159,4,2,3,3,2,1,4,5,3,3,5,3,4,5,4,4,4,3,4,5,4,5,3,3,3,3,3,4,5,4,5,5,4,4,4,3,4,3,2
160,1,1,3,1,1,3,3,3,2,3,2,1,2,2,3,3,4,2,3,2,3,2,4,4,5,4,2,4,3,3,2,1,1,4,1,3,3,3,3
161,1,1,2,3,3,2,5,5,5,4,5,4,5,4,4,3,2,3,4,4,4,4,3,4,3,4,3,3,2,3,3,3,2,3,4,4,5,3,2
162,1,1,3,5,2,3,4,3,3,4,4,3,2,3,2,1,2,2,5,5,5,5,5,4,4,5,4,5,4,4,3,1,2,2,4,4,4,5,3
163,1,2,3,2,1,4,2,2,3,3,4,3,5,3,3,3,2,4,2,3,2,2,4,4,5,5,5,3,4,3,4,2,4,5,4,3,4,4,2
164,4,3,3,2,3,4,2,2,2,3,3,3,4,4,5,4,4,4,3,3,3,3,2,3,3,3,2,3,2,2,4,4,4,2,3,4,3,2,1
165,2,1,1,3,2,3,2,2,2,3,3,2,4,3,3,3,3,2,3,3,3,3,4,3,1,1,2,2,3,1,4,4,3,3,2,3,2,2,1
166,1,1,2,3,2,2,2,3,2,2,2,2,3,2,1,3,2,2,2,3,3,3,1,1,1,1,4,3,3,4,5,2,5,3,1,1,3,2,1
167,3,3,3,1,2,2,3,3,1,3,5,4,5,4,4,3,3,3,5,5,5,5,4,4,4,4,3,3,3,2,3,3,4,3,4,4,4,3,2
168,1,2,3,4,2,2,2,2,2,1,4,4,3,4,2,3,3,2,4,5,5,3,4,5,4,3,2,2,3,3,5,4,5,5,5,4,4,4,2
169,3,4,3,4,3,4,3,3,3,3,3,3,2,3,4,2,4,4,4,4,4,5,5,3,4,3,3,4,4,4,2,1,1,2,2,3,3,3,2
